Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Mê Linh,29.17,Trong lang xom,Tho cu + Dat vuon,156,9.1,3,6,2,7.6,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Binh thuong,18,5.64
Cầu Giấy,8.4,Khu dan cu dong duc,Full tho cu,62,8.1,5,8,4,9.8,Duong nhua,1,1,1,Tây,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,18,21.25
Long Biên,6.07,Khu dan cu,Full tho cu,106,5.9,1,1,1,12.5,Duong nhua,1,1,0,Bắc,Hợp đồng mua bán,Trung binh,Tốt,1,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,28,15.38
Sơn Tây,41.7,Trong lang xom,Tho cu + Dat vuon,70,11.6,1,2,3,3.0,Duong dat,0,0,0,Tây Nam,Vi bằng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,5,1.05
Bắc Từ Liêm,10.08,Khu dan cu,Tho cu + Dat vuon,96,10.6,5,10,2,4.1,Duong be tong,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Xuong cap nhe,21,9.2
Hai Bà Trưng,2.69,Khu dan cu dong duc,Full tho cu,76,11.2,6,10,8,2.7,Duong be tong,0,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,3,19.14
Ba Vì,63.42,Gan lang nghe,Full tho cu,105,9.1,3,3,1,9.7,Duong nhua,1,1,1,Tây Nam,Chờ sổ,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,11,2.9
Đông Anh,12.81,Khu dan cu,Full tho cu,54,9.7,4,6,5,2.5,Duong be tong,0,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,30,4.22
Nam Từ Liêm,12.65,Khu dan cu,Full tho cu,102,11.4,4,4,4,3.6,Duong be tong,1,1,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,13,19.89
Mỹ Đức,49.38,Trong lang xom,Full tho cu,149,13.2,2,1,2,14.5,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Hay hong,Binh thuong,16,3.28
Hà Đông,16.31,Khu dan cu,Full tho cu,52,9.9,1,1,1,3.4,Duong be tong,0,0,0,Nam,Vi bằng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,19,5.35
Mê Linh,28.55,Trong lang xom,Full tho cu,84,8.9,3,6,1,9.0,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Cao,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,1,4.68
Cầu Giấy,7.74,Khu dan cu dong duc,Full tho cu,82,10.4,6,10,2,10.6,Duong nhua,1,1,1,Tây Nam,Vi bằng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,20,29.48
Thạch Thất,36.56,Gan lang nghe,Tho cu + Dat vuon,192,12.2,2,1,1,5.8,Duong nhua,1,1,1,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,29,6.76
Bắc Từ Liêm,15.17,Khu dan cu,Full tho cu,50,8.7,3,3,3,14.3,Duong nhua,1,0,1,Bắc,Vi bằng,Thap,Kém (Hay trộm cắp),1,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,2,4.66
Hai Bà Trưng,4.28,Khu dan cu dong duc,Full tho cu,94,3.3,5,2,3,7.9,Duong nhua,1,0,1,Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Hay hong,Xuong cap nhe,20,22.88
Hà Đông,12.5,Gan KCN,Full tho cu,53,11.7,2,4,5,4.2,Duong be tong,1,1,1,Đông,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),1,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,23,4.41
Gia Lâm,17.68,Khu dan cu,Full tho cu,101,9.3,5,5,5,5.5,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,11,11.6
Nam Từ Liêm,13.93,Khu dan cu,Tho cu + Dat vuon,37,5.5,1,1,1,8.5,Duong nhua,1,0,0,Đông Nam,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,Can sua chua,Nat/Can dap di,18,2.76
Thường Tín,24.61,Trong lang xom,Tho cu + Dat vuon,40,5.1,2,1,1,10.0,Duong nhua,1,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,6,0.95
Long Biên,5.83,Khu dau gia,Full tho cu,105,6.9,2,1,2,6.0,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,Can sua chua,Xuong cap nhe,18,25.92
Hoàn Kiếm,0.42,Khu dan cu dong duc,Full tho cu,49,9.0,8,6,6,1.9,Duong be tong,0,0,1,Đông Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Nat/Can dap di,18,19.65
Nam Từ Liêm,14.73,Gan KCN,Full tho cu,30,5.2,1,2,1,4.3,Duong be tong,1,0,0,Đông Nam,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,6,4.03
Sơn Tây,37.46,Trong lang xom,Tho cu + Dat vuon,157,11.4,3,1,1,13.3,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,Hay hong,Xuong cap nhe,19,3.6
Mỹ Đức,54.09,Trong lang xom,Tho cu + Dat vuon,127,7.5,2,4,4,2.4,Duong dat,0,0,1,Đông,Chờ sổ,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,21,1.01
Mê Linh,31.79,Mat duong Quoc lo,Tho cu + Dat vuon,152,7.2,2,3,4,13.5,Duong nhua,1,1,1,Tây Nam,Chờ sổ,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Binh thuong,17,5.98
Nam Từ Liêm,12.58,Khu dau gia,Full tho cu,69,10.0,3,3,3,7.4,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,5,15.3
Hà Đông,13.73,Khu dan cu,Full tho cu,42,3.3,4,4,4,3.6,Duong be tong,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,25,5.73
Mỹ Đức,43.77,Trong lang xom,Tho cu + Dat vuon,59,12.3,3,5,3,12.5,Duong nhua,1,1,1,Nam,Chờ sổ,Thap,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,14,0.71
Hoài Đức,18.05,Khu dan cu,Full tho cu,35,3.6,3,3,2,10.0,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,12,2.87
Bắc Từ Liêm,14.54,Khu dan cu,Full tho cu,90,6.9,5,2,2,3.1,Duong be tong,0,0,1,Tây,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,1,8.69
Đống Đa,3.99,Khu dan cu dong duc,Full tho cu,97,9.4,3,4,5,9.6,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Thap,Bình thường,1,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,28,24.61
Long Biên,5.85,Khu dan cu,Full tho cu,72,3.6,3,1,1,4.2,Duong be tong,1,0,1,Tây Bắc,Chờ sổ,Thap,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Nhà trống,Hay hong,Binh thuong,25,11.76
Quốc Oai,24.86,Mat duong Quoc lo,Full tho cu,115,5.8,1,1,1,11.5,Duong nhua,1,1,0,Nam,Vi bằng,Cao,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12,7.73
Hoàn Kiếm,0.56,Khu dan cu dong duc,Full tho cu,67,9.2,2,4,3,1.9,Duong be tong,0,0,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,14,34.2
Ứng Hòa,47.84,Trong lang xom,Tho cu + Dat vuon,102,9.1,2,1,2,7.2,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,11,1.86
Gia Lâm,15.22,Khu dan cu,Full tho cu,65,11.0,2,4,3,9.8,Duong nhua,1,1,1,Bắc,Vi bằng,Cao,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,25,8.41
Đan Phượng,23.05,Khu dan cu,Tho cu + Dat vuon,33,3.1,4,3,1,14.7,Duong nhua,1,0,1,Đông Nam,Chờ sổ,Thap,Tốt,1,0,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Binh thuong,22,1.23
Hoài Đức,15.51,Khu dan cu,Full tho cu,30,4.1,1,1,1,4.6,Duong be tong,1,0,0,Tây Bắc,Hợp đồng mua bán,Cao,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,20,3.2
Hoài Đức,20.64,Gan KCN,Full tho cu,79,10.6,1,2,1,5.4,Duong nhua,1,1,0,Nam,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,30,7.72
Phúc Thọ,26.33,Trong lang xom,Full tho cu,88,10.4,1,2,1,6.6,Duong nhua,1,1,0,Nam,Vi bằng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,9,2.83
Hoài Đức,20.35,Gan KCN,Full tho cu,90,4.5,5,10,8,3.8,Duong be tong,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),1,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Nat/Can dap di,24,3.6
Hai Bà Trưng,2.09,Khu dan cu dong duc,Full tho cu,28,5.7,6,8,5,14.5,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Xuong cap nhe,30,9.04
Tây Hồ,5.22,Khu dan cu dong duc,Full tho cu,87,11.8,8,12,12,13.4,Duong nhua,1,1,1,Đông,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,28,38.9
Thạch Thất,34.4,Mat duong Quoc lo,Tho cu + Dat vuon,108,8.2,3,2,2,4.1,Duong be tong,1,1,1,Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Xuong cap nhe,23,5.56
Hoàn Kiếm,1.85,Khu dan cu dong duc,Full tho cu,37,6.7,6,2,2,11.1,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Xuong cap nhe,25,25.48
Sơn Tây,44.73,Mat duong Quoc lo,Full tho cu,60,9.4,1,1,1,8.0,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Nat/Can dap di,19,2.65
Thường Tín,26.33,Trong lang xom,Full tho cu,133,8.2,3,3,3,9.3,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,2,5.92
Chương Mỹ,25.77,Gan lang nghe,Tho cu + Dat vuon,152,5.7,3,5,1,6.2,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,18,4.02
Thạch Thất,27.07,Trong lang xom,Tho cu + Dat vuon,155,6.2,3,1,2,11.0,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,27,5.35
Ba Đình,3.43,Khu dan cu dong duc,Full tho cu,53,8.9,5,5,3,7.5,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,11,24.21
Thạch Thất,27.86,Mat duong Quoc lo,Tho cu + Dat vuon,123,6.1,1,2,3,6.6,Duong nhua,1,1,0,Đông Nam,Chờ sổ,Cao,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,5,6.61
Thanh Xuân,8.98,Khu dan cu dong duc,Full tho cu,38,8.1,8,7,3,2.0,Duong be tong,0,0,1,Đông,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,11,6.61
Đan Phượng,24.1,Khu dan cu,Full tho cu,103,3.2,3,2,3,2.9,Duong be tong,0,0,1,Đông Bắc,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,12,6.3
Thanh Trì,13.27,Khu dan cu,Tho cu + Dat vuon,77,10.8,5,8,8,12.8,Duong nhua,1,1,1,Tây Bắc,Vi bằng,Cao,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,14,5.43
Cầu Giấy,7.9,Khu dan cu dong duc,Full tho cu,74,6.4,2,4,3,4.3,Duong be tong,1,1,1,Đông Nam,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,10,24.19
Thanh Xuân,8.97,Khu dan cu dong duc,Full tho cu,28,9.3,5,2,2,14.9,Duong nhua,1,0,1,Đông,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,0,5.73
Hoàng Mai,5.91,Khu dan cu dong duc,Full tho cu,69,8.3,3,4,1,3.7,Duong be tong,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,3,11.63
Thanh Trì,15.6,Gan KCN,Full tho cu,80,3.6,5,4,3,13.4,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),1,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,1,5.53
Thanh Xuân,8.8,Khu dan cu dong duc,Full tho cu,62,10.1,4,2,1,3.9,Duong be tong,1,1,1,Tây Nam,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Can sua chua,Binh thuong,25,17.33
Hai Bà Trưng,4.87,Khu dan cu dong duc,Full tho cu,38,9.1,5,4,3,5.8,Duong nhua,1,0,1,Tây,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Nat/Can dap di,24,8.39
Nam Từ Liêm,11.06,Gan KCN,Full tho cu,55,3.8,3,2,2,12.4,Duong nhua,1,0,1,Đông Nam,Chờ sổ,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,Can sua chua,Binh thuong,22,9.18
Phú Xuyên,37.48,Trong lang xom,Full tho cu,143,6.2,1,1,1,8.6,Duong nhua,1,1,0,Tây,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,25,4.19
Sơn Tây,40.91,Mat duong Quoc lo,Tho cu + Dat vuon,141,10.2,2,3,1,7.0,Duong nhua,1,1,1,Nam,Vi bằng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Xuong cap nhe,25,5.14
Đống Đa,5.23,Khu dan cu dong duc,Full tho cu,20,4.4,8,1,1,6.0,Duong nhua,1,0,1,Tây Nam,Chờ sổ,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,18,6.78
Thạch Thất,34.2,Gan lang nghe,Tho cu + Dat vuon,151,8.5,2,4,1,6.1,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,26,3.47
Sơn Tây,45.99,Mat duong Quoc lo,Full tho cu,149,12.9,3,5,4,7.4,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,26,7.77
Sơn Tây,39.81,Mat duong Quoc lo,Tho cu + Dat vuon,152,6.0,1,1,1,12.1,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,0,4.49
Hai Bà Trưng,3.18,Khu dan cu dong duc,Full tho cu,57,8.1,7,9,4,5.8,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Nat/Can dap di,16,15.2
Thanh Oai,25.37,Khu dan cu,Full tho cu,37,10.7,4,1,2,12.3,Duong nhua,1,0,1,Tây Bắc,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,5,2.35
Ba Đình,3.47,Khu dan cu dong duc,Full tho cu,59,5.8,7,6,2,4.9,Duong be tong,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,14,21.28
Hoàn Kiếm,0.39,Khu dan cu dong duc,Full tho cu,69,4.4,7,14,14,4.8,Duong be tong,1,0,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,29,49.54
Tây Hồ,5.26,Khu dan cu dong duc,Full tho cu,79,11.8,5,4,5,7.7,Duong nhua,1,1,1,Đông Nam,Vi bằng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,11,30.95
Phúc Thọ,37.24,Mat duong Quoc lo,Full tho cu,84,9.7,1,1,1,3.4,Duong be tong,0,0,0,Tây,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,2.78
Ứng Hòa,49.5,Trong lang xom,Tho cu + Dat vuon,110,10.2,3,2,2,2.1,Duong dat,0,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,20,0.95
Thanh Oai,28.46,Khu dan cu,Tho cu + Dat vuon,52,7.5,1,1,2,11.3,Duong nhua,1,1,0,Tây Bắc,Vi bằng,Thap,Tốt,0,1,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,10,1.96
Hoàng Mai,5.32,Khu dan cu dong duc,Full tho cu,25,5.3,2,3,2,6.3,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Xuong cap nhe,27,4.15
Long Biên,9.08,Khu dan cu,Full tho cu,36,4.0,2,1,2,5.0,Duong be tong,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,Hay hong,Xuong cap nhe,18,6.34
Hoài Đức,18.54,Khu dan cu,Full tho cu,82,5.6,1,1,2,10.6,Duong nhua,1,1,0,Đông Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,5,9.61
Ba Đình,4.3,Khu dan cu dong duc,Full tho cu,79,9.8,6,10,5,9.7,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,17,24.88
Đông Anh,16.1,Khu dan cu,Full tho cu,90,7.6,4,3,4,9.2,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Xuong cap nhe,16,11.83
Ba Đình,4.69,Khu dan cu dong duc,Full tho cu,74,9.9,2,1,1,6.7,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,1,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,2,27.14
Hà Đông,12.18,Khu dan cu,Full tho cu,84,10.5,3,4,2,4.8,Duong be tong,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,29,11.93
Thạch Thất,36.44,Trong lang xom,Full tho cu,147,11.1,1,2,2,7.5,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,6,7.93
Quốc Oai,29.35,Trong lang xom,Tho cu + Dat vuon,86,12.4,3,5,5,8.3,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,1,2.69
Phúc Thọ,29.64,Mat duong Quoc lo,Tho cu + Dat vuon,141,13.7,3,3,4,2.4,Duong dat,0,0,1,Tây,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Binh thuong,23,2.27
Hoài Đức,20.55,Khu dau gia,Full tho cu,114,11.6,3,2,2,7.5,Duong nhua,1,1,1,Đông Nam,Vi bằng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Nat/Can dap di,29,10.21
Thanh Oai,25.79,Gan KCN,Tho cu + Dat vuon,96,7.7,4,8,6,12.7,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,9,3.22
Ba Đình,2.27,Khu dan cu dong duc,Full tho cu,93,11.2,5,4,5,11.2,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,1,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,8,32.3
Sóc Sơn,35.62,Trong lang xom,Full tho cu,102,11.5,2,2,2,2.6,Duong dat,0,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,6,3.14
Ba Đình,3.87,Khu dan cu dong duc,Full tho cu,99,9.4,5,7,5,1.9,Duong be tong,0,0,1,Tây,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,25,27.88
